Indice;Fecha;Fecha Num;Dia Indice;Año;Mes Num;Mes;Dia Semana;Dia Mes Num;Dia Semana Num;Dia Año Num;Semana Num;Semana ISO;Trimestre Num;Trimestre;Semana;Año NSemana;Año NMes;Año NTrimestre;Mes Corto - Año;Mes Largo - Año;Primer Dia Semana;Primer Dia Mes;Primer Dia Trimestre;Primer Dia Año;Ultimo Dia Año;Ultimo Dia Trimestre;Ultimo Dia Mes;Ultimo Dia Semana;Dia Trimestre Num;Fecha Año Anterior;Año Relativo;Semana Relativa;Mes Relativo;Trimestre Relativo;Semana Indice;Mes Indice;Trimestre Indice;Año Indice;Es Laboral?;Tipo Dia;Semana VCF;Inicio Semana VCF;Final Semana VCF;Semana Relativa VCF;Semana Indice VCF;Mes Actual?;Pasado?
32;01-jul-11;20110701;40725;2011;7;julio;viernes;1;5;182;27;26;3;Q 3;Semana 27;2011 - S-27;2011 - M-07;2011 - T-03;jul. 2011;julio 2011;27-jun-11;01-jul-11;01-jul-11;01-ene-11;31-dic-11;30-sep-11;31-jul-11;03-jul-11;1;01-jul-10;-14;-720;-165;-55;27;5;2;1;True;Laboral;26;27-jun-11;03-jul-11;-720;26;False;True
35;04-jul-11;20110704;40728;2011;7;julio;lunes;4;1;185;28;27;3;Q 3;Semana 28;2011 - S-28;2011 - M-07;2011 - T-03;jul. 2011;julio 2011;04-jul-11;01-jul-11;01-jul-11;01-ene-11;31-dic-11;30-sep-11;31-jul-11;10-jul-11;4;04-jul-10;-14;-719;-165;-55;28;5;2;1;True;Laboral;27;04-jul-11;10-jul-11;-719;27;False;True
36;05-jul-11;20110705;40729;2011;7;julio;martes;5;2;186;28;27;3;Q 3;Semana 28;2011 - S-28;2011 - M-07;2011 - T-03;jul. 2011;julio 2011;04-jul-11;01-jul-11;01-jul-11;01-ene-11;31-dic-11;30-sep-11;31-jul-11;10-jul-11;5;05-jul-10;-14;-719;-165;-55;28;5;2;1;True;Laboral;27;04-jul-11;10-jul-11;-719;27;False;True
37;06-jul-11;20110706;40730;2011;7;julio;miércoles;6;3;187;28;27;3;Q 3;Semana 28;2011 - S-28;2011 - M-07;2011 - T-03;jul. 2011;julio 2011;04-jul-11;01-jul-11;01-jul-11;01-ene-11;31-dic-11;30-sep-11;31-jul-11;10-jul-11;6;06-jul-10;-14;-719;-165;-55;28;5;2;1;True;Laboral;27;04-jul-11;10-jul-11;-719;27;False;True
38;07-jul-11;20110707;40731;2011;7;julio;jueves;7;4;188;28;27;3;Q 3;Semana 28;2011 - S-28;2011 - M-07;2011 - T-03;jul. 2011;julio 2011;04-jul-11;01-jul-11;01-jul-11;01-ene-11;31-dic-11;30-sep-11;31-jul-11;10-jul-11;7;07-jul-10;-14;-719;-165;-55;28;5;2;1;True;Laboral;27;04-jul-11;10-jul-11;-719;27;False;True
39;08-jul-11;20110708;40732;2011;7;julio;viernes;8;5;189;28;27;3;Q 3;Semana 28;2011 - S-28;2011 - M-07;2011 - T-03;jul. 2011;julio 2011;04-jul-11;01-jul-11;01-jul-11;01-ene-11;31-dic-11;30-sep-11;31-jul-11;10-jul-11;8;08-jul-10;-14;-719;-165;-55;28;5;2;1;True;Laboral;27;04-jul-11;10-jul-11;-719;27;False;True
42;11-jul-11;20110711;40735;2011;7;julio;lunes;11;1;192;29;28;3;Q 3;Semana 29;2011 - S-29;2011 - M-07;2011 - T-03;jul. 2011;julio 2011;11-jul-11;01-jul-11;01-jul-11;01-ene-11;31-dic-11;30-sep-11;31-jul-11;17-jul-11;11;11-jul-10;-14;-718;-165;-55;29;5;2;1;True;Laboral;28;11-jul-11;17-jul-11;-718;28;False;True
43;12-jul-11;20110712;40736;2011;7;julio;martes;12;2;193;29;28;3;Q 3;Semana 29;2011 - S-29;2011 - M-07;2011 - T-03;jul. 2011;julio 2011;11-jul-11;01-jul-11;01-jul-11;01-ene-11;31-dic-11;30-sep-11;31-jul-11;17-jul-11;12;12-jul-10;-14;-718;-165;-55;29;5;2;1;True;Laboral;28;11-jul-11;17-jul-11;-718;28;False;True
44;13-jul-11;20110713;40737;2011;7;julio;miércoles;13;3;194;29;28;3;Q 3;Semana 29;2011 - S-29;2011 - M-07;2011 - T-03;jul. 2011;julio 2011;11-jul-11;01-jul-11;01-jul-11;01-ene-11;31-dic-11;30-sep-11;31-jul-11;17-jul-11;13;13-jul-10;-14;-718;-165;-55;29;5;2;1;True;Laboral;28;11-jul-11;17-jul-11;-718;28;False;True
45;14-jul-11;20110714;40738;2011;7;julio;jueves;14;4;195;29;28;3;Q 3;Semana 29;2011 - S-29;2011 - M-07;2011 - T-03;jul. 2011;julio 2011;11-jul-11;01-jul-11;01-jul-11;01-ene-11;31-dic-11;30-sep-11;31-jul-11;17-jul-11;14;14-jul-10;-14;-718;-165;-55;29;5;2;1;True;Laboral;28;11-jul-11;17-jul-11;-718;28;False;True
46;15-jul-11;20110715;40739;2011;7;julio;viernes;15;5;196;29;28;3;Q 3;Semana 29;2011 - S-29;2011 - M-07;2011 - T-03;jul. 2011;julio 2011;11-jul-11;01-jul-11;01-jul-11;01-ene-11;31-dic-11;30-sep-11;31-jul-11;17-jul-11;15;15-jul-10;-14;-718;-165;-55;29;5;2;1;True;Laboral;28;11-jul-11;17-jul-11;-718;28;False;True
49;18-jul-11;20110718;40742;2011;7;julio;lunes;18;1;199;30;29;3;Q 3;Semana 30;2011 - S-30;2011 - M-07;2011 - T-03;jul. 2011;julio 2011;18-jul-11;01-jul-11;01-jul-11;01-ene-11;31-dic-11;30-sep-11;31-jul-11;24-jul-11;18;18-jul-10;-14;-717;-165;-55;30;5;2;1;True;Laboral;29;18-jul-11;24-jul-11;-717;29;False;True
50;19-jul-11;20110719;40743;2011;7;julio;martes;19;2;200;30;29;3;Q 3;Semana 30;2011 - S-30;2011 - M-07;2011 - T-03;jul. 2011;julio 2011;18-jul-11;01-jul-11;01-jul-11;01-ene-11;31-dic-11;30-sep-11;31-jul-11;24-jul-11;19;19-jul-10;-14;-717;-165;-55;30;5;2;1;True;Laboral;29;18-jul-11;24-jul-11;-717;29;False;True
51;20-jul-11;20110720;40744;2011;7;julio;miércoles;20;3;201;30;29;3;Q 3;Semana 30;2011 - S-30;2011 - M-07;2011 - T-03;jul. 2011;julio 2011;18-jul-11;01-jul-11;01-jul-11;01-ene-11;31-dic-11;30-sep-11;31-jul-11;24-jul-11;20;20-jul-10;-14;-717;-165;-55;30;5;2;1;True;Laboral;29;18-jul-11;24-jul-11;-717;29;False;True
52;21-jul-11;20110721;40745;2011;7;julio;jueves;21;4;202;30;29;3;Q 3;Semana 30;2011 - S-30;2011 - M-07;2011 - T-03;jul. 2011;julio 2011;18-jul-11;01-jul-11;01-jul-11;01-ene-11;31-dic-11;30-sep-11;31-jul-11;24-jul-11;21;21-jul-10;-14;-717;-165;-55;30;5;2;1;True;Laboral;29;18-jul-11;24-jul-11;-717;29;False;True
53;22-jul-11;20110722;40746;2011;7;julio;viernes;22;5;203;30;29;3;Q 3;Semana 30;2011 - S-30;2011 - M-07;2011 - T-03;jul. 2011;julio 2011;18-jul-11;01-jul-11;01-jul-11;01-ene-11;31-dic-11;30-sep-11;31-jul-11;24-jul-11;22;22-jul-10;-14;-717;-165;-55;30;5;2;1;True;Laboral;29;18-jul-11;24-jul-11;-717;29;False;True
56;25-jul-11;20110725;40749;2011;7;julio;lunes;25;1;206;31;30;3;Q 3;Semana 31;2011 - S-31;2011 - M-07;2011 - T-03;jul. 2011;julio 2011;25-jul-11;01-jul-11;01-jul-11;01-ene-11;31-dic-11;30-sep-11;31-jul-11;31-jul-11;25;25-jul-10;-14;-716;-165;-55;31;5;2;1;True;Laboral;30;25-jul-11;31-jul-11;-716;30;False;True
57;26-jul-11;20110726;40750;2011;7;julio;martes;26;2;207;31;30;3;Q 3;Semana 31;2011 - S-31;2011 - M-07;2011 - T-03;jul. 2011;julio 2011;25-jul-11;01-jul-11;01-jul-11;01-ene-11;31-dic-11;30-sep-11;31-jul-11;31-jul-11;26;26-jul-10;-14;-716;-165;-55;31;5;2;1;True;Laboral;30;25-jul-11;31-jul-11;-716;30;False;True
58;27-jul-11;20110727;40751;2011;7;julio;miércoles;27;3;208;31;30;3;Q 3;Semana 31;2011 - S-31;2011 - M-07;2011 - T-03;jul. 2011;julio 2011;25-jul-11;01-jul-11;01-jul-11;01-ene-11;31-dic-11;30-sep-11;31-jul-11;31-jul-11;27;27-jul-10;-14;-716;-165;-55;31;5;2;1;True;Laboral;30;25-jul-11;31-jul-11;-716;30;False;True
59;28-jul-11;20110728;40752;2011;7;julio;jueves;28;4;209;31;30;3;Q 3;Semana 31;2011 - S-31;2011 - M-07;2011 - T-03;jul. 2011;julio 2011;25-jul-11;01-jul-11;01-jul-11;01-ene-11;31-dic-11;30-sep-11;31-jul-11;31-jul-11;28;28-jul-10;-14;-716;-165;-55;31;5;2;1;True;Laboral;30;25-jul-11;31-jul-11;-716;30;False;True
